id	id_label
MONDO:0020148	syndromic aniridia
MONDO:0020154	microblepharon-ablephara syndrome
MONDO:0020155	eyelid border anomaly
MONDO:0020156	syndromic ankyloblepharon
MONDO:0020157	syndromic palpebral coloboma
MONDO:0020158	eyelids malposition disorder
MONDO:0020160	secondary entropion
MONDO:0020162	secondary ectropion
MONDO:0020163	canthal anomaly
MONDO:0020164	epicanthal fold
MONDO:0020165	syndromic epicanthus
MONDO:0020167	malposition of external canthus
MONDO:0020173	benign tumor of palpebral epidermis
MONDO:0020177	pigmented palpebral tumor
MONDO:0020180	palpebral piliary tumor
MONDO:0020193	secretory apparatus of the lacrimal system anomaly
MONDO:0020194	congenital alacrima
MONDO:0020195	excretory apparatus of the lacrimal system anomaly
MONDO:0020196	anomaly of the secretory and excretory apparatus of the lacrimal system
MONDO:0020197	EEC syndrome and related syndrome
MONDO:0020203	pigmented conjunctival lesion
MONDO:0020205	bulbar conjunctival dermoid or conjunctival dermolipoma
MONDO:0020210	syndromic hyperopia
MONDO:0020211	syndromic keratoconus
MONDO:0020215	syndromic corneal dystrophy
MONDO:0020216	secondary dysgenetic glaucoma
MONDO:0020219	corneogoniodysgenesis
MONDO:0020237	lens shape anomaly
MONDO:0020238	inherited vitreous-retinal disease
MONDO:0020240	syndromic retinitis pigmentosa
MONDO:0020245	disease predisposing to age-related macular degeneration
MONDO:0020256	congenital trochlear nerve palsy
MONDO:0020275	oculocutaneous or ocular albinism
MONDO:0020284	heart position anomaly
MONDO:0020285	transposition of the great arteries and conotruncal cardiac anomaly
MONDO:0020286	aortic malformation
MONDO:0020287	pulmonary artery or pulmonary branch anomaly
MONDO:0020288	atrioventricular valve anomaly
MONDO:0020293	ascending aorta anomaly
MONDO:0020294	atrial defect and interatrial communication
MONDO:0020339	X-linked complex spastic paraplegia
MONDO:0020343	alpha-crystallinopathy
MONDO:0020344	postsynaptic congenital myasthenic syndrome
MONDO:0020345	presynaptic congenital myasthenic syndrome
MONDO:0020346	synaptic congenital myasthenic syndrome
MONDO:0020372	early-onset sutural cataract
MONDO:0020375	coralliform cataract
MONDO:0020377	early-onset partial cataract
MONDO:0020392	discrete fixed membranous subaortic stenosis
MONDO:0020488	atypical progressive supranuclear palsy syndrome
MONDO:0020489	familial hyperreninemic hypoaldosteronism type 1
MONDO:0020506	ovarioleukodystrophy
MONDO:0020524	primary parathyroid hyperplasia
MONDO:0020529	ACTH-independent Cushing syndrome
MONDO:0020539	extragonadal non-dysgerminomatous germ cell tumor
MONDO:0020693	glycogen storage disease due to liver phosphorylase kinase deficiency
MONDO:0021026	genetic epidermal appendage anomaly
MONDO:0021034	genetic alopecia
MONDO:0021154	dermis disorder
MONDO:0022409	nephropathy-associated ciliopathy
MONDO:0022410	retinal ciliopathy
MONDO:0024471	non-inflammatory vasculopathy
MONDO:0025511	inherited neuroendocrine tumor
MONDO:0027749	serpinopathy
MONDO:0028226	autosomal recessive severe congenital neutropenia
MONDO:0033947	hereditary angioedema with normal C1Inh
MONDO:0034024	kyphoscoliotic Ehlers-Danlos syndrome
MONDO:0034217	resistance to thyroid hormone due to a mutation in thyroid hormone receptor beta
MONDO:0035162	PIK3CA-related overgrowth syndrome
MONDO:0035682	fibrous dysplasia/McCune-Albright syndrome
MONDO:0036192	EN1-related dorsoventral syndrome
MONDO:0043009	genetic lethal multiple congenital anomalies/dysmorphic syndrome
MONDO:0044200	T-B+ severe combined immunodeficiency
MONDO:0044201	T+ B+ severe combined immunodeficiency
MONDO:0044655	c12orf65-related combined oxidative phosphorylation defect
MONDO:0044699	SIN3A-related intellectual disability syndrome
MONDO:0100147	SATB2 associated disorder
MONDO:0100189	apolipoprotein A-I deficiency
MONDO:0100343	antenatal Bartter syndrome
MONDO:0800075	dysostosis with predominant vertebral with and without costal involvement
MONDO:0800084	primary bone dysplasia with increased bone density
MONDO:0800085	dysostosis with predominant craniofacial involvement
MONDO:0800086	primary bone dysplasia with multiple joint dislocations
MONDO:0800087	type 11 collagen-related bone disorder
MONDO:0800089	primary bone dysplasia with disorganized development of skeletal components
MONDO:0800090	ectrodactyly with and without other manifestations
MONDO:0800091	overgrowth or tall stature syndrome with skeletal involvement
MONDO:0800092	genetic inflammatory or rheumatoid-like osteoarthropathy
MONDO:0800093	dysostosis with brachydactyly without extraskeletal manifestations
MONDO:0800094	dysostosis with brachydactyly with extraskeletal manifestations
MONDO:0800095	syndrome with synostosis or other joint formation defect
